lew_kinase,lew_kinase2,kinase,tyr,kinase_tyr
ABL,ABL,ABL1,,ABL1
ACK,ACK,TNK2,,TNK2
ALK,ALK,ALK,,ALK
ARG,ARG,ABL2,,ABL2
AXL,AXL,AXL,,AXL
BLK,BLK,BLK,,BLK
BMPR2_TYR,BMPR2,BMPR2,TYR,BMPR2_TYR
BRK,BRK,PTK6,,PTK6
BTK,BTK,BTK,,BTK
CSFR,CSFR,CSF1R,,CSF1R
CSK,CSK,CSK,,CSK
CTK,CTK,MATK,,MATK
DDR1,DDR1,DDR1,,DDR1
DDR2,DDR2,DDR2,,DDR2
EGFR,EGFR,EGFR,,EGFR
EPHA1,EPHA1,EPHA1,,EPHA1
EPHA2,EPHA2,EPHA2,,EPHA2
EPHA3,EPHA3,EPHA3,,EPHA3
EPHA4,EPHA4,EPHA4,,EPHA4
EPHA5,EPHA5,EPHA5,,EPHA5
EPHA6,EPHA6,EPHA6,,EPHA6
EPHA7,EPHA7,EPHA7,,EPHA7
EPHA8,EPHA8,EPHA8,,EPHA8
EPHB1,EPHB1,EPHB1,,EPHB1
EPHB2,EPHB2,EPHB2,,EPHB2
EPHB3,EPHB3,EPHB3,,EPHB3
EPHB4,EPHB4,EPHB4,,EPHB4
ETK,ETK,BMX,,BMX
FAK,FAK,PTK2,,PTK2
FER,FER,FER,,FER
FES,FES,FES,,FES
FGFR1,FGFR1,FGFR1,,FGFR1
FGFR2,FGFR2,FGFR2,,FGFR2
FGFR3,FGFR3,FGFR3,,FGFR3
FGFR4,FGFR4,FGFR4,,FGFR4
FGR,FGR,FGR,,FGR
FLT3,FLT3,FLT3,,FLT3
FRK,FRK,FRK,,FRK
FYN,FYN,FYN,,FYN
HCK,HCK,HCK,,HCK
HER2,HER2,ERBB2,,ERBB2
HER4,HER4,ERBB4,,ERBB4
IGF1R,IGF1R,IGF1R,,IGF1R
INSR,INSR,INSR,,INSR
IRR,IRR,INSRR,,INSRR
ITK,ITK,ITK,,ITK
JAK1,JAK1,JAK1,,JAK1
JAK2,JAK2,JAK2,,JAK2
JAK3,JAK3,JAK3,,JAK3
KIT,KIT,KIT,,KIT
LCK,LCK,LCK,,LCK
LIMK1_TYR,LIMK1,LIMK1,TYR,LIMK1_TYR
LIMK2_TYR,LIMK2,LIMK2,TYR,LIMK2_TYR
LTK,LTK,LTK,,LTK
LYN,LYN,LYN,,LYN
MER,MER,MERTK,,MERTK
MET,MET,MET,,MET
MKK4_TYR,MKK4,MAP2K4,TYR,MAP2K4_TYR
MKK6_TYR,MKK6,MAP2K6,TYR,MAP2K6_TYR
MKK7_TYR,MKK7,MAP2K7,TYR,MAP2K7_TYR
MST1R,MST1R,MST1R,,MST1R
MUSK,MUSK,MUSK,,MUSK
MYT1_TYR,MYT1,PKMYT1,TYR,PKMYT1_TYR
NEK10_TYR,NEK10,NEK10,TYR,NEK10_TYR
PDGFRA,PDGFRA,PDGFRA,,PDGFRA
PDGFRB,PDGFRB,PDGFRB,,PDGFRB
PDHK1_TYR,PDHK1,PDHK1,TYR,PDHK1_TYR
PDHK3_TYR,PDHK3,PDHK3,TYR,PDHK3_TYR
PDHK4_TYR,PDHK4,PDHK4,TYR,PDHK4_TYR
PINK1_TYR,PINK1,PINK1,TYR,PINK1_TYR
PYK2,PYK2,PTK2B,,PTK2B
RET,RET,RET,,RET
ROS,ROS,ROS1,,ROS1
SRC,SRC,SRC,,SRC
SRMS,SRMS,SRMS,,SRMS
SYK,SYK,SYK,,SYK
TEC,TEC,TEC,,TEC
TESK1_TYR,TESK1,TESK1,TYR,TESK1_TYR
TIE2,TIE2,TEK,,TEK
TNK1,TNK1,TNK1,,TNK1
TNNI3K_TYR,TNNI3K,TNNI3K,TYR,TNNI3K_TYR
TRKA,TRKA,NTRK1,,NTRK1
TRKB,TRKB,NTRK2,,NTRK2
TRKC,TRKC,NTRK3,,NTRK3
TXK,TXK,TXK,,TXK
TYK2,TYK2,TYK2,,TYK2
TYRO3,TYRO3,TYRO3,,TYRO3
VEGFR1,VEGFR1,FLT1,,FLT1
VEGFR2,VEGFR2,KDR,,KDR
VEGFR3,VEGFR3,FLT4,,FLT4
WEE1_TYR,WEE1,WEE1,TYR,WEE1_TYR
YES,YES,YES1,,YES1
ZAP70,ZAP70,ZAP70,,ZAP70